,bank_accounts_open,credit_cards_held,homes_owned,household_size,average_balance,q1_balance,q2_balance,q3_balance,q4_balance,income_level,credit_rating,reward_Air Miles,reward_Cash Back,reward_Points,mailer_type_Letter,mailer_type_Postcard,overdraft_protection_No,overdraft_protection_Yes,own_your_home_No,own_your_home_Yes
58,1,2,3,2,1195.5,272.0,1181.0,1491.0,1838.0,1,2,0,1,0,0,1,1,0,0,1
59,1,2,1,3,1351.5,755.0,1292.0,1736.0,1623.0,1,2,1,0,0,0,1,1,0,0,1
60,2,1,1,4,1062.25,430.0,989.0,1827.0,1003.0,1,2,0,1,0,0,1,1,0,1,0
61,1,2,1,2,1147.25,2189.0,970.0,1362.0,68.0,1,2,0,1,0,1,0,1,0,0,1
62,1,1,1,3,1308.5,1445.0,1232.0,1001.0,1556.0,1,0,0,1,0,1,0,1,0,0,1
63,2,2,1,2,363.0,382.0,156.0,443.0,471.0,1,2,0,1,0,0,1,1,0,1,0
64,1,1,2,4,929.5,341.0,878.0,1543.0,956.0,1,0,0,1,0,1,0,1,0,0,1
65,1,2,1,2,718.0,725.0,867.0,715.0,565.0,0,0,0,1,0,0,1,1,0,1,0
66,1,1,1,3,1193.25,1459.0,703.0,1043.0,1568.0,2,2,0,1,0,1,0,1,0,0,1
67,1,3,1,2,957.75,440.0,696.0,892.0,1803.0,1,1,1,0,0,1,0,1,0,0,1
68,2,2,1,4,1050.0,742.0,1197.0,1767.0,494.0,1,0,0,0,1,0,1,1,0,1,0
69,2,2,1,5,1266.5,660.0,1157.0,1151.0,2098.0,1,2,0,0,1,0,1,1,0,0,1
70,1,4,1,2,1124.75,220.0,1100.0,1939.0,1240.0,1,2,1,0,0,0,1,1,0,0,1
71,3,2,2,1,1059.75,293.0,1774.0,1595.0,577.0,2,2,1,0,0,1,0,1,0,1,0
72,1,1,1,1,1014.25,717.0,1289.0,1443.0,608.0,1,2,0,1,0,0,1,1,0,1,0
73,1,1,1,3,891.25,1634.0,1019.0,615.0,297.0,0,2,1,0,0,1,0,1,0,0,1
74,1,2,2,5,1329.5,1073.0,1127.0,1603.0,1515.0,2,0,0,1,0,0,1,1,0,0,1
75,1,3,2,4,1023.5,1234.0,1352.0,1158.0,350.0,1,1,1,0,0,1,0,1,0,1,0
76,1,1,1,5,908.5,235.0,434.0,1310.0,1655.0,1,0,0,1,0,0,1,1,0,0,1
77,1,1,1,3,731.5,570.0,785.0,730.0,841.0,2,0,0,1,0,1,0,1,0,0,1
78,1,2,1,2,793.5,625.0,930.0,859.0,760.0,0,1,0,0,1,0,1,1,0,1,0
79,2,1,1,3,1735.5,1610.0,1746.0,1972.0,1614.0,1,0,0,1,0,0,1,1,0,0,1
80,1,2,1,4,970.5,1675.0,1131.0,581.0,495.0,1,1,0,1,0,0,1,1,0,0,1
81,1,2,1,4,995.25,662.0,1174.0,1637.0,508.0,2,0,0,1,0,1,0,1,0,0,1
82,1,2,1,3,904.0,1471.0,1381.0,605.0,159.0,1,1,0,0,1,0,1,1,0,0,1
83,2,1,1,5,1128.5,969.0,1103.0,1182.0,1260.0,2,2,0,1,0,0,1,1,0,0,1
84,3,2,1,3,1102.75,200.0,1704.0,1855.0,652.0,1,1,1,0,0,0,1,1,0,0,1
85,1,1,1,4,976.25,332.0,1589.0,1374.0,610.0,1,2,0,1,0,0,1,1,0,0,1
86,2,2,1,5,839.75,697.0,901.0,882.0,879.0,1,2,1,0,0,1,0,1,0,0,1
87,1,2,1,4,1293.0,538.0,826.0,1735.0,2073.0,1,1,0,0,1,0,1,1,0,1,0
88,2,2,1,5,819.5,321.0,1036.0,1274.0,647.0,1,2,0,1,0,0,1,1,0,0,1
89,2,2,2,3,1094.5,1864.0,1440.0,900.0,174.0,1,0,1,0,0,0,1,1,0,0,1
90,1,1,1,2,1247.25,757.0,450.0,1768.0,2014.0,0,0,0,0,1,0,1,0,1,0,1
91,1,3,1,3,167.0,195.0,124.0,190.0,159.0,1,2,1,0,0,1,0,1,0,0,1
92,1,3,1,2,1144.75,636.0,1275.0,1405.0,1263.0,1,2,0,1,0,1,0,1,0,0,1
93,1,1,1,3,909.75,1535.0,1384.0,509.0,211.0,0,1,1,0,0,1,0,1,0,1,0
94,1,3,1,3,976.25,187.0,684.0,1246.0,1788.0,1,0,0,1,0,0,1,0,1,0,1
95,2,2,3,4,741.0,534.0,883.0,833.0,714.0,0,1,0,0,1,0,1,1,0,0,1
96,1,1,1,2,1343.75,876.0,1745.0,1538.0,1216.0,0,1,1,0,0,0,1,1,0,0,1
97,2,3,1,3,1454.5,1274.0,1412.0,1838.0,1294.0,0,0,0,0,1,1,0,1,0,0,1
98,1,1,1,4,1791.25,1790.0,1994.0,1616.0,1765.0,1,1,1,0,0,1,0,1,0,1,0
99,2,1,1,3,1185.75,382.0,1293.0,2183.0,885.0,0,1,0,0,1,1,0,0,1,0,1
100,1,2,1,3,1210.75,592.0,926.0,1152.0,2173.0,0,2,0,1,0,1,0,1,0,0,1
101,1,1,1,9,161.5,44.0,99.0,454.0,49.0,2,0,0,0,1,0,1,0,1,1,0
102,1,1,1,2,1033.75,1982.0,1018.0,934.0,201.0,0,2,0,1,0,1,0,0,1,0,1
103,2,2,1,5,963.0,237.0,966.0,1461.0,1188.0,2,0,0,1,0,1,0,1,0,0,1
104,1,2,3,5,1025.75,1260.0,681.0,1473.0,689.0,1,2,0,1,0,0,1,1,0,0,1
105,1,1,1,5,1071.75,1349.0,503.0,1738.0,697.0,0,2,0,0,1,1,0,1,0,0,1
106,1,2,2,3,1039.5,1934.0,1078.0,812.0,334.0,0,0,0,1,0,1,0,1,0,0,1
107,1,3,1,3,979.25,1837.0,1225.0,805.0,50.0,1,0,1,0,0,0,1,1,0,0,1
108,1,2,1,1,905.5,1538.0,1333.0,545.0,206.0,2,2,0,0,1,0,1,1,0,0,1
109,1,2,1,5,924.0,1517.0,1497.0,676.0,6.0,2,1,0,1,0,1,0,0,1,0,1
110,1,1,1,2,1061.75,1860.0,1191.0,923.0,273.0,0,0,0,1,0,0,1,1,0,0,1
111,1,3,2,1,816.5,860.0,579.0,974.0,853.0,1,1,0,0,1,0,1,0,1,1,0
112,1,2,1,5,1082.5,1890.0,1405.0,996.0,39.0,2,2,1,0,0,1,0,0,1,0,1
113,2,1,1,4,928.25,1770.0,1124.0,457.0,362.0,1,0,0,1,0,0,1,1,0,0,1
114,1,2,1,3,1397.25,1804.0,1730.0,1270.0,785.0,2,1,0,0,1,0,1,1,0,0,1
115,2,1,2,5,1034.5,1564.0,1443.0,832.0,299.0,0,0,0,0,1,0,1,1,0,1,0
116,1,2,1,5,738.5,703.0,735.0,831.0,685.0,1,0,1,0,0,0,1,1,0,0,1
117,1,2,1,4,1251.5,977.0,1562.0,1719.0,748.0,2,2,0,1,0,0,1,1,0,0,1
118,1,1,1,5,1153.75,520.0,1500.0,1711.0,884.0,0,2,0,0,1,0,1,1,0,0,1
119,1,2,1,4,864.0,345.0,605.0,1043.0,1463.0,2,1,0,1,0,0,1,1,0,0,1
120,1,3,1,2,1155.5,1233.0,1101.0,1065.0,1223.0,1,2,0,1,0,1,0,1,0,1,0
121,1,1,2,5,1090.5,1997.0,1093.0,784.0,488.0,2,2,0,1,0,0,1,1,0,1,0
122,1,2,1,4,1090.5,1809.0,1526.0,691.0,336.0,0,1,0,1,0,1,0,1,0,1,0
123,1,2,1,3,773.75,974.0,675.0,503.0,943.0,0,0,1,0,0,1,0,1,0,0,1
124,1,2,1,3,1052.0,403.0,1225.0,1652.0,928.0,1,1,1,0,0,0,1,1,0,0,1
125,1,2,1,4,944.25,1558.0,1188.0,662.0,369.0,1,1,1,0,0,0,1,1,0,0,1
126,1,1,2,4,1147.25,753.0,1031.0,1067.0,1738.0,1,2,0,0,1,1,0,1,0,1,0
127,1,2,1,3,1159.5,1029.0,684.0,1418.0,1507.0,2,2,0,1,0,1,0,1,0,0,1
128,1,1,1,3,836.5,941.0,618.0,886.0,901.0,2,2,1,0,0,0,1,1,0,1,0
129,2,2,1,3,1057.75,439.0,1014.0,1843.0,935.0,1,1,0,1,0,1,0,1,0,0,1
130,1,3,1,5,714.75,287.0,750.0,1192.0,630.0,1,1,0,1,0,0,1,1,0,1,0
131,2,2,2,3,811.5,820.0,958.0,564.0,904.0,2,1,1,0,0,0,1,1,0,0,1
132,1,2,1,3,865.75,1803.0,1027.0,557.0,76.0,1,2,0,1,0,1,0,1,0,1,0
133,1,1,1,3,887.25,498.0,408.0,1343.0,1300.0,1,0,0,1,0,0,1,1,0,0,1
134,1,2,1,5,1791.75,1735.0,1950.0,1500.0,1982.0,2,1,0,1,0,1,0,1,0,1,0
135,1,2,1,3,1083.0,1849.0,1492.0,723.0,268.0,2,2,0,0,1,0,1,1,0,0,1
136,2,1,1,2,212.5,404.0,14.0,220.0,212.0,1,0,0,0,1,1,0,1,0,0,1
137,1,2,1,2,877.75,983.0,834.0,843.0,851.0,1,0,0,1,0,1,0,1,0,1,0
138,1,2,1,3,691.5,63.0,1144.0,833.0,726.0,1,2,1,0,0,1,0,1,0,1,0
139,2,2,2,4,814.5,67.0,906.0,997.0,1288.0,0,1,1,0,0,0,1,1,0,0,1
140,1,2,1,4,955.5,1656.0,1237.0,620.0,309.0,1,1,0,0,1,0,1,1,0,0,1
141,1,2,1,4,1281.5,1009.0,1111.0,1783.0,1223.0,2,2,0,1,0,1,0,1,0,0,1
142,1,2,1,3,937.5,730.0,955.0,848.0,1217.0,2,0,1,0,0,1,0,0,1,0,1
143,3,2,1,3,919.75,241.0,1084.0,1701.0,653.0,1,1,0,0,1,1,0,0,1,0,1
144,3,1,1,3,879.75,247.0,1293.0,1400.0,579.0,1,2,0,0,1,0,1,0,1,0,1
145,1,4,1,4,1181.0,1446.0,592.0,2203.0,483.0,1,0,0,0,1,1,0,0,1,1,0
146,1,1,2,3,1153.5,311.0,1460.0,1584.0,1259.0,0,1,1,0,0,0,1,1,0,1,0
147,1,2,1,4,794.25,696.0,449.0,819.0,1213.0,2,2,0,0,1,0,1,1,0,0,1
148,1,3,1,4,927.25,128.0,917.0,1622.0,1042.0,1,0,0,0,1,0,1,0,1,0,1
149,1,3,1,2,1809.0,1968.0,1762.0,1534.0,1972.0,1,1,0,0,1,1,0,1,0,1,0
150,1,1,1,5,1156.25,430.0,708.0,1661.0,1826.0,0,1,0,1,0,1,0,1,0,1,0
151,1,2,1,4,1121.5,625.0,931.0,1072.0,1858.0,2,0,1,0,0,0,1,0,1,1,0
152,1,2,1,4,1203.0,1240.0,1692.0,1322.0,558.0,2,1,0,1,0,1,0,1,0,0,1
153,2,1,1,1,246.25,88.0,430.0,190.0,277.0,2,0,0,0,1,1,0,1,0,1,0
154,2,1,1,4,1454.75,664.0,1363.0,1622.0,2170.0,0,0,1,0,0,1,0,1,0,0,1
155,1,2,1,2,687.0,731.0,530.0,556.0,931.0,2,0,0,0,1,0,1,1,0,1,0
156,2,1,1,3,928.0,1688.0,1345.0,675.0,4.0,2,0,0,0,1,0,1,0,1,0,1
157,1,2,1,2,933.0,1582.0,1500.0,577.0,73.0,2,0,0,0,1,0,1,1,0,1,0
158,3,1,1,5,1133.25,1856.0,1396.0,863.0,418.0,1,0,0,1,0,0,1,1,0,1,0
159,1,3,2,5,1301.5,2090.0,1250.0,1071.0,795.0,1,0,0,1,0,1,0,1,0,0,1
160,2,1,1,2,1199.0,330.0,970.0,1488.0,2008.0,2,1,0,1,0,1,0,1,0,0,1
161,2,1,1,3,1084.25,206.0,619.0,1467.0,2045.0,1,0,0,0,1,1,0,1,0,0,1
162,1,2,1,2,1094.5,834.0,876.0,2113.0,555.0,0,2,0,1,0,0,1,1,0,1,0
163,1,1,1,3,1104.0,2145.0,1053.0,755.0,463.0,2,2,0,0,1,1,0,0,1,0,1
164,1,1,1,4,1042.5,941.0,805.0,1721.0,703.0,2,0,1,0,0,1,0,1,0,0,1
165,1,1,1,5,1089.75,1701.0,1484.0,850.0,324.0,1,2,0,1,0,0,1,1,0,0,1
166,1,2,1,3,974.25,100.0,1187.0,997.0,1613.0,1,1,0,0,1,0,1,1,0,0,1
167,2,2,1,3,991.5,1797.0,1265.0,799.0,105.0,1,2,1,0,0,0,1,1,0,0,1
168,1,2,1,3,1204.25,327.0,1457.0,2194.0,839.0,0,1,0,0,1,0,1,0,1,0,1
169,1,2,1,5,865.0,235.0,1452.0,1304.0,469.0,1,0,1,0,0,0,1,1,0,1,0
170,1,2,1,2,1144.0,887.0,911.0,1678.0,1100.0,1,2,0,0,1,0,1,1,0,0,1
171,1,3,2,4,958.5,1556.0,1469.0,626.0,183.0,1,1,1,0,0,1,0,1,0,0,1
172,1,2,2,3,1056.25,918.0,921.0,1838.0,548.0,1,0,0,1,0,1,0,1,0,0,1
173,1,3,1,3,695.0,528.0,866.0,871.0,515.0,1,1,0,0,1,1,0,1,0,0,1
174,1,4,1,2,1237.5,776.0,1181.0,1208.0,1785.0,0,2,0,1,0,0,1,1,0,0,1
175,1,2,1,5,1034.0,1789.0,831.0,794.0,722.0,0,2,0,1,0,1,0,1,0,0,1
176,1,1,1,4,1246.5,1988.0,1589.0,451.0,958.0,2,2,0,1,0,1,0,1,0,0,1
177,1,2,1,2,998.75,1123.0,553.0,1221.0,1098.0,1,0,0,1,0,1,0,1,0,1,0
178,1,2,1,3,1028.0,1885.0,1042.0,969.0,216.0,2,1,0,0,1,0,1,1,0,0,1
179,2,2,1,2,320.0,385.0,368.0,264.0,263.0,1,2,0,0,1,0,1,1,0,1,0
180,2,1,2,3,91.25,76.0,64.0,121.0,104.0,0,2,0,0,1,1,0,1,0,0,1
181,2,1,1,3,166.25,250.0,191.0,168.0,56.0,2,1,0,0,1,1,0,0,1,0,1
182,2,3,1,2,240.0,123.0,288.0,229.0,320.0,1,0,1,0,0,1,0,0,1,1,0
183,1,2,1,5,124.75,90.0,154.0,78.0,177.0,1,1,0,0,1,0,1,1,0,1,0
184,1,1,1,3,1145.75,300.0,1776.0,1776.0,731.0,2,0,1,0,0,1,0,1,0,1,0
185,3,2,1,6,1292.5,1787.0,1746.0,1073.0,564.0,1,0,0,0,1,0,1,1,0,1,0
186,1,2,2,3,1186.0,1006.0,464.0,1194.0,2080.0,1,2,0,0,1,1,0,0,1,0,1
187,2,1,1,5,1135.25,679.0,1482.0,1630.0,750.0,1,2,1,0,0,0,1,1,0,0,1
188,1,3,1,4,1279.25,319.0,1533.0,2062.0,1203.0,0,0,0,1,0,1,0,1,0,0,1
189,1,2,2,3,1162.0,156.0,1399.0,1837.0,1256.0,2,0,1,0,0,0,1,1,0,0,1
190,1,2,1,3,954.5,1434.0,877.0,714.0,793.0,1,0,0,1,0,0,1,1,0,1,0
191,1,2,1,3,1073.25,751.0,930.0,1186.0,1426.0,1,1,0,1,0,0,1,1,0,0,1
192,1,1,1,4,889.0,239.0,992.0,1523.0,802.0,1,1,0,0,1,1,0,1,0,0,1
193,1,1,1,3,294.25,108.0,376.0,467.0,226.0,1,0,0,0,1,1,0,1,0,1,0
194,2,3,1,3,1047.5,487.0,1457.0,1252.0,994.0,0,0,1,0,0,0,1,1,0,0,1
195,2,1,1,3,661.25,662.0,533.0,907.0,543.0,0,0,1,0,0,1,0,1,0,0,1
196,2,3,1,2,158.75,45.0,118.0,450.0,22.0,1,1,0,1,0,1,0,1,0,0,1
197,1,2,2,3,1059.0,394.0,811.0,1618.0,1413.0,2,1,0,1,0,0,1,1,0,0,1
198,1,1,1,2,1741.75,1621.0,1884.0,1923.0,1539.0,0,1,1,0,0,1,0,1,0,0,1
199,1,1,1,4,1419.5,738.0,1298.0,2090.0,1552.0,2,0,0,0,1,0,1,1,0,0,1
200,1,2,1,3,232.5,445.0,68.0,150.0,267.0,1,0,0,1,0,1,0,1,0,0,1
201,1,2,1,3,1122.5,1863.0,1147.0,1233.0,247.0,1,2,0,0,1,1,0,1,0,1,0
202,2,1,1,4,1250.75,987.0,787.0,1420.0,1809.0,1,0,0,1,0,0,1,1,0,1,0
203,1,3,2,2,1057.0,1741.0,1236.0,981.0,270.0,1,2,1,0,0,1,0,1,0,0,1
204,1,1,2,4,1195.0,1197.0,1866.0,1304.0,413.0,2,0,0,0,1,0,1,1,0,1,0
205,2,1,1,3,936.25,1714.0,1020.0,769.0,242.0,1,2,1,0,0,1,0,0,1,0,1
206,1,1,1,5,791.5,818.0,845.0,760.0,743.0,2,0,1,0,0,0,1,1,0,0,1
207,2,1,1,4,1426.0,1363.0,1833.0,1505.0,1003.0,1,2,0,1,0,1,0,1,0,0,1
208,2,2,1,4,764.75,732.0,951.0,521.0,855.0,0,2,1,0,0,1,0,1,0,0,1
209,1,2,1,3,830.0,155.0,842.0,1450.0,873.0,1,2,1,0,0,1,0,1,0,0,1
210,1,2,1,3,1162.25,405.0,1242.0,1788.0,1214.0,0,2,1,0,0,1,0,1,0,1,0
211,2,2,2,3,1065.5,906.0,883.0,1571.0,902.0,1,2,0,1,0,1,0,1,0,0,1
212,1,1,1,3,1022.25,646.0,803.0,1500.0,1140.0,1,0,0,1,0,1,0,0,1,0,1
213,1,4,1,5,1181.0,1972.0,1794.0,873.0,85.0,1,0,0,1,0,0,1,1,0,0,1
214,1,3,1,4,1764.0,1752.0,1932.0,1581.0,1791.0,0,1,1,0,0,0,1,1,0,0,1
215,2,2,2,2,1043.25,704.0,1300.0,1256.0,913.0,0,0,0,1,0,1,0,1,0,1,0
216,1,2,1,3,1702.0,1658.0,1866.0,1565.0,1719.0,1,2,0,0,1,1,0,1,0,1,0
217,1,2,1,4,856.0,1624.0,1261.0,504.0,35.0,2,1,1,0,0,0,1,1,0,1,0
218,1,2,1,5,390.75,423.0,347.0,298.0,495.0,1,1,1,0,0,1,0,1,0,1,0
219,1,3,2,4,1101.5,1275.0,867.0,1342.0,922.0,0,0,1,0,0,0,1,1,0,1,0
220,1,2,1,4,1016.5,1889.0,1436.0,510.0,231.0,0,1,0,0,1,1,0,1,0,1,0
221,2,3,1,5,287.75,238.0,442.0,17.0,454.0,1,2,0,1,0,1,0,1,0,0,1
222,1,3,1,6,841.25,100.0,1023.0,993.0,1249.0,0,0,0,1,0,1,0,1,0,1,0
223,1,3,2,6,911.75,1619.0,1282.0,676.0,70.0,1,0,0,1,0,0,1,1,0,0,1
224,1,1,1,3,1141.5,675.0,1173.0,1519.0,1199.0,0,0,1,0,0,1,0,1,0,1,0
225,1,1,1,4,946.25,1757.0,1273.0,613.0,142.0,1,2,1,0,0,1,0,1,0,0,1
226,1,3,1,5,1190.25,945.0,774.0,1132.0,1910.0,0,2,0,1,0,1,0,1,0,0,1
227,1,3,1,4,924.0,104.0,1190.0,1301.0,1101.0,1,2,1,0,0,1,0,1,0,0,1
228,1,2,1,4,823.75,586.0,995.0,822.0,892.0,0,0,0,1,0,0,1,1,0,1,0
229,1,3,1,4,1006.0,310.0,1456.0,1850.0,408.0,1,2,0,0,1,0,1,1,0,1,0
230,1,1,1,4,1008.75,189.0,1665.0,1690.0,491.0,0,0,0,0,1,1,0,1,0,0,1
231,1,2,1,3,1128.0,188.0,619.0,1629.0,2076.0,0,1,0,0,1,1,0,1,0,1,0
232,2,2,1,1,1340.5,2196.0,1127.0,1356.0,683.0,2,0,0,1,0,0,1,1,0,0,1
233,1,3,1,3,1371.0,514.0,1208.0,1657.0,2105.0,0,0,0,0,1,0,1,0,1,1,0
234,1,1,2,3,1331.25,1043.0,1530.0,1700.0,1052.0,1,0,0,1,0,1,0,1,0,1,0
235,1,2,1,3,704.5,274.0,706.0,818.0,1020.0,0,2,0,0,1,0,1,0,1,0,1
236,1,1,2,3,1509.0,1175.0,1559.0,2214.0,1088.0,1,2,1,0,0,0,1,1,0,0,1
237,2,3,1,3,203.25,32.0,382.0,240.0,159.0,2,0,0,1,0,0,1,1,0,1,0
238,1,1,1,2,1034.0,1519.0,1401.0,867.0,349.0,2,1,1,0,0,0,1,1,0,0,1
239,1,3,1,5,1007.25,108.0,1698.0,1722.0,501.0,1,0,1,0,0,0,1,1,0,1,0
240,1,3,1,4,874.0,1206.0,493.0,833.0,964.0,1,2,1,0,0,1,0,1,0,0,1
241,2,1,2,4,1148.0,1861.0,1434.0,967.0,330.0,1,2,0,0,1,1,0,1,0,0,1
242,1,3,1,3,229.25,207.0,133.0,403.0,174.0,2,0,1,0,0,1,0,1,0,0,1
243,1,2,1,3,962.75,1405.0,1256.0,444.0,746.0,1,2,0,0,1,0,1,1,0,1,0
244,1,4,1,5,1437.75,865.0,1304.0,1420.0,2162.0,1,0,0,0,1,0,1,1,0,1,0
245,1,1,1,4,1281.5,765.0,1147.0,2116.0,1098.0,0,2,1,0,0,1,0,1,0,0,1
246,1,2,1,3,1029.5,1274.0,1451.0,703.0,690.0,1,2,1,0,0,1,0,1,0,0,1
247,1,2,1,2,883.75,1583.0,1012.0,747.0,193.0,0,2,1,0,0,0,1,1,0,1,0
248,1,4,2,4,1144.5,954.0,1752.0,803.0,1069.0,1,0,1,0,0,1,0,1,0,1,0
249,1,2,2,3,1117.0,65.0,1762.0,1723.0,918.0,1,1,0,0,1,1,0,1,0,0,1
250,1,1,1,5,1047.75,438.0,762.0,1014.0,1977.0,2,1,1,0,0,1,0,1,0,0,1
